crime_type,hour,day_of_week,is_weekend,zone_id,crime_count_last_7d,latitude,longitude,incident_risk
11,8,1,0,25,7,19.127287225326505,72.80022453522456,0
7,9,0,0,17,5,19.23675876351071,72.80932096433841,0
5,20,4,0,0,7,19.232143987455366,72.82733703873642,0
8,12,3,0,3,12,19.030503834212364,72.79670014333973,1
5,20,1,0,25,13,19.01210101160764,72.86689036889766,1
1,23,5,1,25,9,19.17638954436427,72.93343897062172,1
6,20,2,0,12,17,18.975002588516986,72.8600445785744,1
8,23,0,0,5,13,19.05453433264262,72.94042184980535,1
4,22,2,0,27,18,18.909518625894158,72.89077085688027,1
8,16,5,1,14,3,19.06181642590711,72.90551161601681,0
6,20,2,0,11,6,19.26348096296314,72.79157277955154,1
11,23,3,0,20,8,18.990952473192454,72.81762423194475,0
9,17,3,0,27,17,19.024138038082107,72.83198997257085,1
8,0,4,0,19,13,19.12111275280932,72.83419152850303,1
2,20,5,1,17,2,19.04665562309539,72.89623252423617,1
9,23,5,1,17,1,19.100635149017627,72.8129668522274,1
5,18,1,0,31,17,19.2741144202662,72.85534779398759,1
0,21,0,0,2,6,18.933540847520252,72.7827343929654,0
11,16,4,0,30,5,19.17996429978799,72.96263315045154,0
4,22,1,0,9,9,19.031140219710313,72.82821696646593,0
0,22,4,0,12,8,18.962891059603223,72.95564413349584,0
1,23,6,1,7,3,18.888873896812118,72.87963303732919,1
10,17,3,0,0,17,19.100762735509793,72.89218759430707,1
6,22,4,0,20,7,19.1357445427897,72.94100893350388,1
5,21,1,0,5,15,19.123235139816753,72.90732886432446,1
10,18,6,1,1,15,19.01930218680932,72.88279789783196,1
11,22,1,0,18,10,19.159056748597386,72.93929435513478,1
7,8,1,0,16,2,18.983297755319583,72.87182715124766,0
5,22,1,0,12,11,18.963652316431403,72.89592998689434,1
2,22,0,0,22,16,18.931218335583107,72.81038053870246,1
7,19,3,0,23,18,19.04466448574301,72.95486352097089,1
9,18,2,0,20,6,18.947574025228864,72.8357180678064,0
0,20,0,0,11,14,18.962533487362318,72.85285397220962,1
9,12,2,0,8,15,18.9169162344915,72.87622907881126,1
7,9,2,0,30,4,19.03091438609683,72.78051900487674,0
0,23,0,0,2,14,18.95380840774255,72.82186986466735,1
9,22,5,1,23,19,19.168206424556587,72.79246827250225,1
6,22,6,1,22,13,19.084670976846265,72.88642269705306,1
1,21,5,1,2,5,19.038865533001633,72.8009738333065,1
11,9,6,1,24,12,19.216283994351173,72.79784086574242,1
8,16,4,0,19,9,19.069587976572222,72.85102086065586,0
1,22,3,0,14,8,19.174728990157966,72.8915484531901,1
0,23,2,0,9,2,18.99351036231949,72.85261645927973,0
10,23,2,0,12,6,19.012139392512367,72.96673836475198,0
5,21,5,1,10,9,18.915155049816057,72.94117297734823,1
6,22,2,0,30,6,19.044158730795864,72.97647572338172,1
1,23,3,0,10,17,19.22620285035759,72.94341441418986,1
7,9,2,0,29,8,19.251750395651037,72.89135257860279,0
9,18,4,0,11,4,18.962031024059783,72.97359881330085,0
2,23,0,0,19,14,18.976963892966033,72.80296736494785,1
5,22,5,1,10,3,19.252805736902776,72.84412843843191,1
0,21,1,0,23,12,18.933765870775588,72.79267499409455,1
1,20,1,0,19,17,18.981856261905506,72.9163005444448,1
8,10,6,1,23,17,19.122440752422335,72.9388578899933,1
4,21,3,0,17,9,18.929718889394216,72.92617349504073,0
1,23,2,0,2,8,19.250579769435884,72.92431931015025,1
10,8,4,0,13,5,19.19981485236781,72.94502653533856,0
4,20,2,0,13,13,19.089226169907647,72.8517660968247,1
9,17,6,1,7,6,19.030777771769962,72.87253595713392,0
0,22,6,1,14,15,19.11099450836245,72.85107249036368,1
6,21,5,1,20,19,19.24258884438582,72.9048475991828,1
5,20,6,1,18,15,19.013962245862835,72.80785441453268,1
0,23,5,1,6,1,19.109260339702956,72.97953852318477,1
4,20,6,1,0,10,18.89341297389431,72.89397793697427,1
4,20,1,0,0,15,18.92116641229766,72.88729627029691,1
3,22,3,0,23,15,19.08091533898501,72.88797212742257,1
3,21,4,0,1,4,18.884881228927217,72.89968854024104,1
3,19,2,0,26,10,19.018278397401566,72.8163195433603,1
7,9,5,1,7,11,19.049438744968192,72.83758592329515,1
11,12,5,1,17,11,19.12458169417386,72.78362203676417,1
11,11,3,0,15,8,19.158660329550756,72.96449987623546,0
9,16,3,0,30,14,19.122686018553143,72.86482613426048,1
7,8,5,1,10,14,19.060335748561652,72.80264760916815,1
3,18,0,0,30,15,19.004577705618257,72.82547912417543,1
4,18,4,0,8,9,18.962231923350256,72.9375579777429,0
2,22,3,0,24,7,19.225407256245184,72.9645920463597,0
1,22,1,0,26,12,19.060887176355923,72.824920964588,1
10,18,5,1,23,1,19.11105278163662,72.8131026634856,0
0,20,6,1,10,17,19.132905715167812,72.78261889131767,1
6,20,3,0,8,8,18.939465091101244,72.8629248247454,1
0,22,0,0,31,19,18.90683059095537,72.92999209407984,1
0,20,4,0,29,1,19.214625925316934,72.89749072084682,0
2,22,1,0,1,6,19.0937823565029,72.87621758967752,0
2,22,3,0,0,3,19.013745124524192,72.79510067276078,0
9,9,2,0,13,18,19.090631386663716,72.94014995429723,1
6,20,0,0,24,8,18.968788864773177,72.82621495931761,1
5,18,6,1,4,15,18.95141786482173,72.91054922157038,1
7,9,2,0,31,14,19.275491512782178,72.9006394804354,1
10,15,3,0,19,16,19.14723405462826,72.82099685908317,1
1,22,1,0,6,16,19.1743618452784,72.94962561909338,1
2,23,4,0,27,5,19.161578454055405,72.96212480070807,0
3,20,1,0,30,12,19.031876963266907,72.89805898850297,1
3,22,4,0,5,12,19.189533809280537,72.85255157893319,1
2,23,1,0,21,14,19.191903509915214,72.80284758518408,1
6,23,0,0,17,8,18.888987723328047,72.83373547187699,1
1,20,0,0,6,14,18.967209242997633,72.90901083355386,1
3,19,1,0,28,11,18.94867171433932,72.83446146530387,1
5,19,4,0,9,17,19.110606590205702,72.83481104413744,1
4,18,5,1,25,6,19.168081032652918,72.80131574602574,0
10,7,1,0,11,10,19.13323922534298,72.87885477002766,1
0,21,4,0,27,2,19.18836455082571,72.86440721191013,0
11,21,2,0,0,11,18.91311946717005,72.90063042189328,1
7,18,3,0,16,2,19.168613144448763,72.90208093340159,0
6,22,5,1,21,4,19.1730288388841,72.82298807571816,1
3,20,2,0,19,13,18.900570325393698,72.87927324944025,1
10,1,0,0,25,8,19.06969492348015,72.84887674640885,0
0,20,0,0,28,7,19.155360958571094,72.86696546772075,0
2,22,1,0,4,6,18.88093575625031,72.97353987764141,0
1,23,2,0,4,17,18.916632829330652,72.96346271509245,1
9,22,0,0,14,19,18.91468208474487,72.97163415860079,1
7,18,4,0,16,6,19.143513346684287,72.91845531290357,0
7,8,1,0,24,9,19.138665967646865,72.91863504229138,0
9,14,1,0,15,7,19.250099326966268,72.81611506902547,0
4,18,2,0,15,18,18.926112808498914,72.86435253194611,1
3,20,1,0,26,3,19.21156618966027,72.7874015269431,1
11,12,1,0,2,12,19.158515510351258,72.84797499275362,1
6,22,0,0,3,18,19.196289265935587,72.84375050058641,1
0,23,4,0,9,3,19.23066615114498,72.86350121680557,0
9,1,5,1,26,3,19.22988066907368,72.88578742680545,0
10,6,5,1,19,12,18.90107353439089,72.79770868212273,1
8,15,3,0,14,7,19.039314953590253,72.79833986702229,0
3,22,0,0,29,18,18.88133854481719,72.87346215330753,1
3,19,5,1,4,14,18.896837275854544,72.78357478694669,1
8,14,0,0,24,5,19.151858913077227,72.82365077757301,0
4,20,3,0,5,11,19.272932206032035,72.95683979562631,1
1,20,6,1,19,19,18.905994563793158,72.8603160472851,1
9,10,1,0,24,3,18.96819448362807,72.81728765242885,0
7,9,4,0,4,9,19.13191116919846,72.82326480460732,0
2,23,1,0,16,18,18.949558099687795,72.85924840378054,1
1,21,0,0,23,13,19.238974459218483,72.87267614964313,1
7,8,6,1,24,2,19.117175973936682,72.89601724156756,0
10,8,2,0,26,2,18.93180596851312,72.9577496159738,0
11,9,0,0,14,2,19.142096792255607,72.89017147412183,0
7,19,6,1,5,18,18.98390151350413,72.92468402273772,1
5,22,3,0,15,17,19.15330350546384,72.79522617189807,1
1,23,4,0,31,3,19.086431608177445,72.96130274388892,1
7,19,1,0,7,6,19.106292785598317,72.83340565403388,0
7,18,3,0,0,13,18.94293626388101,72.81208002106601,1
10,12,0,0,20,6,19.152056308704122,72.90372227564303,0
11,6,4,0,10,10,19.264526115273963,72.873094001754,1
9,10,4,0,29,2,19.24348052370775,72.78022402229603,0
11,6,1,0,31,9,18.91363928978719,72.84528671530066,0
0,23,6,1,1,3,19.133602281239845,72.88799707594318,1
5,20,5,1,6,15,19.096506631470444,72.9725984007718,1
4,22,5,1,3,4,18.949501390123025,72.93417082170821,1
10,16,3,0,21,18,19.163428801841054,72.87471477768702,1
1,21,6,1,28,12,19.05838332280413,72.90951472868038,1
6,20,2,0,0,19,19.009444087659816,72.87772863808094,1
10,22,1,0,1,17,18.989450666512667,72.97942490003155,1
2,20,0,0,6,11,19.090809638484746,72.94518415315999,1
3,19,6,1,13,3,18.972021473212575,72.80626702528188,1
0,21,3,0,23,16,19.05293392041704,72.96872318403352,1
4,20,3,0,5,1,19.18403763137524,72.86845975247618,0
9,5,6,1,1,12,18.965241881610034,72.7862268165769,1
1,22,3,0,15,17,19.097293122315982,72.81184914765585,1
4,20,5,1,17,12,19.1844095963772,72.90524406432628,1
4,21,1,0,2,14,18.95418354987066,72.87241945815313,1
6,20,5,1,11,16,18.97901598224135,72.89168253451665,1
8,21,5,1,20,11,18.98759736177404,72.93951182012744,1
0,23,4,0,17,15,19.15218265054373,72.859109016776,1
5,20,4,0,24,8,19.224048958875684,72.93597019777867,0
10,21,2,0,23,14,18.938368829614056,72.80055848089853,1
5,21,3,0,0,1,19.103859473394767,72.78195416948384,0
1,20,0,0,8,7,19.02025077248367,72.78664062175828,1
1,21,6,1,25,2,19.155785987654905,72.94011733982182,1
9,22,3,0,16,6,19.260619989742132,72.80484399334561,0
8,5,0,0,6,12,19.125177669946243,72.83976717726746,1
7,19,1,0,27,7,19.200691233227918,72.84789003850857,0
10,19,3,0,5,3,19.206919107984998,72.87046365690367,0
8,9,5,1,10,12,19.169930623949625,72.89865572966204,1
8,12,2,0,25,13,19.011606975125865,72.87403651853934,1
7,8,6,1,20,18,19.14348311020035,72.87963914329063,1
5,19,2,0,21,3,19.012925850142043,72.88849572714388,0
11,9,2,0,2,15,18.96822444996893,72.86367995773354,1
0,22,3,0,16,5,19.227309002163352,72.92543381395326,0
3,21,3,0,29,17,19.275059825494424,72.7880218382825,1
2,23,0,0,3,4,18.8917577783026,72.8591030339698,0
1,22,1,0,3,19,19.04868837074938,72.83536555944701,1
9,21,4,0,11,15,19.033538860747118,72.87316256140406,1
0,22,1,0,7,10,19.042124073234298,72.9003710767324,1
11,13,5,1,1,13,18.952390781083796,72.95087701867392,1
8,21,3,0,28,2,19.058122102001064,72.88296347078594,0
6,21,0,0,26,3,19.00485922267858,72.85980918922742,1
4,22,6,1,0,13,19.18938925027464,72.80617473214367,1
6,22,6,1,10,16,19.2334838678643,72.86840487475658,1
9,9,3,0,29,8,18.9383026272979,72.86988676704274,0
10,11,0,0,24,11,18.946816763160378,72.81352384325767,1
4,22,3,0,4,15,19.192716131938013,72.92107711882244,1
5,21,2,0,28,9,18.893675106375664,72.97733859607143,0
4,21,1,0,28,5,19.136001186734767,72.82494023539454,0
4,20,4,0,0,10,19.082893923475357,72.78831457181008,1
3,22,1,0,23,18,19.154387094393194,72.7834759580371,1
8,6,6,1,23,12,19.0862384114317,72.87776931605138,1
5,21,6,1,31,18,18.93308586152771,72.80870847240789,1
9,22,1,0,20,6,18.917560286315766,72.91452042364503,0
4,19,0,0,22,18,19.271452514960213,72.85485935342795,1
1,20,1,0,7,8,19.225843534382015,72.93370387290476,1
8,13,3,0,0,14,19.120243817018494,72.96817507126762,1
4,22,0,0,25,6,19.01942946689679,72.81185748904856,0
8,0,0,0,24,13,19.228301380134905,72.93647709681166,1
8,10,3,0,1,6,19.041656128660414,72.84540663231265,0
2,21,1,0,17,13,19.231156463616532,72.84343914335308,1
10,0,5,1,21,1,19.139629863517758,72.84567624557702,0
11,6,6,1,20,1,19.03216788169312,72.8896999443303,0
0,23,0,0,2,3,18.97090785090526,72.79463918475369,0
7,9,5,1,9,8,19.183737731169145,72.88008906182615,0
1,21,3,0,20,5,19.205506515327837,72.80178366836935,1
1,23,4,0,14,16,19.09344101869075,72.90158101855869,1
6,21,5,1,17,11,19.16619636283971,72.88424682649708,1
6,23,6,1,20,11,19.239212219579997,72.82869645931527,1
2,22,3,0,20,14,19.07167329177744,72.81891166463706,1
3,22,3,0,13,3,19.002915985970514,72.94060517956653,1
7,19,1,0,3,13,19.16705431436345,72.85998104136084,1
3,19,0,0,29,10,18.95245973981387,72.916223570793,1
6,20,6,1,6,10,18.998111315688124,72.93868145162958,1
7,19,3,0,3,12,18.91481558503506,72.94314972870086,1
7,8,1,0,14,9,19.260561336882663,72.90032236402926,0
9,8,6,1,9,10,18.94990937713095,72.85215450382212,1
7,19,0,0,25,19,18.982257999123707,72.84041210036696,1
3,21,6,1,9,10,19.20381199030738,72.93333122704009,1
0,22,1,0,4,2,18.947205683097945,72.92737474898884,0
0,22,4,0,16,3,18.951378386091108,72.84245435720976,0
11,6,2,0,9,2,18.982753539058287,72.90640309720409,0
2,22,4,0,17,7,19.041727507241717,72.86563992298512,0
8,16,2,0,6,4,19.01643600978969,72.94374141142384,0
9,5,1,0,31,8,18.989664266623922,72.7958838737978,0
4,18,3,0,2,6,19.040475165615593,72.85339121584096,0
8,6,3,0,12,5,19.08762391636331,72.79352251271844,0
11,20,5,1,7,3,19.140350947618877,72.88659155731027,1
5,19,6,1,11,2,19.144735675939753,72.89155668347401,0
6,21,3,0,7,5,19.11219000268667,72.79775347882156,1
8,22,1,0,29,12,19.049075645358474,72.94436128878021,1
0,23,3,0,7,13,19.198179984315892,72.9654355638959,1
6,23,2,0,7,12,18.888010542370328,72.92743604500146,1
0,20,5,1,20,8,18.917171657751755,72.83140945328641,1
6,23,0,0,20,2,19.21042705210101,72.93640561753408,1
3,18,6,1,17,2,19.01666980075877,72.8561819051022,1
10,8,0,0,10,4,19.21011444329316,72.83594070769429,0
1,22,5,1,2,5,19.194510382702838,72.89491747646356,1
3,19,3,0,14,13,19.038871510971685,72.88794652375199,1
2,21,1,0,29,7,19.168568826931494,72.80825560985511,0
3,18,6,1,20,3,18.88915752999045,72.81075822993361,1
1,21,3,0,17,1,19.136388830938134,72.94449611272688,1
3,18,5,1,15,3,19.185923920361198,72.81496772545208,1
2,20,5,1,24,2,19.146522754334015,72.80435238222506,1
3,18,6,1,3,13,18.91198615774372,72.93534472609434,1
3,19,4,0,27,11,19.220579455020506,72.7800665012241,1
1,23,6,1,18,2,19.03458433646366,72.89288821813578,1
9,1,5,1,10,15,19.181701417737546,72.90389955028152,1
8,22,2,0,8,14,18.93689974747488,72.80427698788449,1
2,22,3,0,0,17,19.083768851259915,72.9793393707706,1
4,21,3,0,28,7,19.129558334516656,72.88540829278233,0
1,22,4,0,19,3,19.04191937163408,72.9108151590744,1
6,22,3,0,21,5,19.21101515822675,72.92672287611228,1
6,21,5,1,26,10,19.047432248649574,72.93806754717204,1
6,21,6,1,4,18,18.966080748806895,72.78242415492878,1
4,22,1,0,4,3,19.263830657728413,72.87757080878528,0
0,23,2,0,30,4,19.079733533991448,72.83320385560108,0
1,23,3,0,17,6,19.070407251747508,72.85517765702916,1
9,20,1,0,12,9,18.933258001671238,72.80042990593151,0
8,0,1,0,27,18,18.91056674377522,72.83587354278694,1
9,7,4,0,27,8,19.134880590723313,72.91187078444116,0
0,22,0,0,27,5,19.060247862691902,72.95649188809122,0
11,0,6,1,4,11,18.89913232815764,72.7876043696475,1
0,20,2,0,23,8,18.92214701358112,72.7871141734071,0
9,13,3,0,10,19,19.268299983068268,72.96846307793464,1
11,18,2,0,25,8,18.919358259885357,72.91206054394027,0
9,5,6,1,31,8,19.085863034629405,72.95978016480124,0
7,8,0,0,1,4,19.146940159218573,72.78208553987947,0
3,18,0,0,24,18,19.092120853299665,72.78839024468633,1
9,20,3,0,11,13,19.069734443962485,72.80279132694287,1
4,21,1,0,10,18,18.897494250351986,72.80216159243597,1
6,20,0,0,7,18,19.052830753177677,72.8678809979389,1
5,21,5,1,19,14,18.928600550520365,72.81949409797198,1
0,23,4,0,2,7,19.148581973957857,72.843384495469,0
0,23,0,0,14,8,18.980896408069345,72.93100838574927,0
7,9,6,1,22,11,19.14246473507243,72.81548575389394,1
8,21,3,0,28,15,19.171178870692298,72.8015887429293,1
3,20,1,0,30,12,19.075357652025975,72.81013522154198,1
5,20,4,0,28,19,19.177369514430644,72.90238810106747,1
6,20,5,1,6,5,19.11086911331502,72.95542768830228,1
7,9,1,0,15,3,19.204700886746284,72.92834241230258,0
0,23,2,0,31,10,19.231926594376777,72.9115120625556,1
4,20,2,0,1,4,19.022153827474295,72.93675835689709,0
5,19,1,0,25,14,18.894124541976094,72.92914675654625,1
8,1,4,0,24,6,19.151351529142058,72.9312529315783,0
7,18,4,0,25,10,19.027323812202738,72.86972212619091,1
7,9,2,0,25,8,19.03661027927113,72.86252436816973,0
6,20,1,0,5,13,18.946754047141948,72.8162638559851,1
3,18,6,1,6,5,19.07238915595445,72.90846510518105,1
9,22,3,0,3,18,18.90112158418741,72.87731953244875,1
2,22,3,0,27,19,19.008843201691676,72.90729813020984,1
5,22,3,0,29,4,19.27278767617846,72.82196839897128,0
2,23,4,0,3,1,18.92895070293007,72.92710112129751,0
1,22,3,0,16,11,19.119290117625496,72.92713262284784,1
8,21,4,0,0,16,19.048499221317627,72.90723547294165,1
10,14,5,1,14,9,19.215920914254248,72.85676659038661,0
9,15,4,0,24,3,19.106219985968576,72.97592934300678,0
10,16,5,1,29,13,19.114591636875485,72.91953412550401,1
2,20,2,0,9,5,19.221091207950284,72.82510826598515,0
4,21,0,0,20,6,19.063274754695158,72.87659377441707,0
9,3,5,1,6,4,19.24156533210415,72.96187803840168,0
5,18,5,1,13,4,19.124090059791058,72.80707081645554,0
4,21,1,0,29,14,18.8945150490454,72.83514397061911,1
7,9,5,1,30,12,19.059895936980215,72.93534211139104,1
8,12,3,0,23,11,18.898600234576026,72.90393988803989,1
8,20,3,0,17,15,19.044438241040282,72.84946866525178,1
1,23,2,0,19,10,18.931195283413434,72.95642712285641,1
9,11,5,1,24,5,19.077792452518036,72.97591016807635,0
2,22,1,0,4,12,19.106132101828646,72.87278649733767,1
8,8,0,0,17,7,19.168003215865244,72.8635979867741,0
5,18,0,0,23,11,18.925907548747688,72.95202793866989,1
8,6,5,1,16,6,19.097415286937057,72.79634506914935,0
1,20,1,0,20,2,18.936383851008706,72.91283758290109,1
9,1,2,0,28,15,19.17971348507831,72.83811751196127,1
7,9,3,0,26,17,19.063695951038785,72.79039131551086,1
6,20,3,0,25,15,19.012086025948598,72.93135030113773,1
7,19,4,0,14,9,19.23183274198061,72.9541156850092,0
7,9,3,0,25,3,19.103192295513058,72.89050272295655,0
7,19,0,0,9,18,19.079125003213715,72.80109473999133,1
10,18,4,0,18,8,18.958243709217804,72.81734465915461,0
7,19,3,0,8,9,19.111037346352465,72.90691648351006,0
7,9,1,0,27,7,19.15835964726752,72.93865227008766,0
2,20,2,0,26,1,18.990761794951123,72.97670429454305,0
11,0,6,1,31,16,19.025477249902455,72.92652704694017,1
10,4,3,0,29,9,19.12611921002792,72.79669281699788,0
11,10,5,1,22,13,19.26685064610367,72.86355219585502,1
1,23,3,0,5,5,19.27191298314181,72.91122680360412,1
8,2,0,0,3,5,19.167741448947663,72.95805161060356,0
2,20,3,0,28,6,18.998595912513327,72.96364159992456,0
2,23,3,0,24,12,19.068467159573125,72.9443273795421,1
8,20,1,0,21,16,19.211299700974887,72.84704160947418,1
4,21,1,0,29,2,19.167630978941542,72.86402374556955,0
8,18,6,1,17,16,19.17953053478532,72.91022951697634,1
5,18,4,0,11,3,19.068514866959266,72.97582098760303,0
0,23,4,0,15,15,18.922537490502307,72.84298391772259,1
6,21,0,0,19,3,18.970871822809407,72.94740822504859,1
3,19,0,0,14,3,19.002124270678692,72.82252887527422,1
8,20,4,0,13,17,19.18369949322434,72.96072156886936,1
6,20,2,0,27,1,19.1459939613904,72.8320573715132,1
5,20,2,0,22,14,18.947632428142395,72.8579518774853,1
5,21,4,0,7,14,18.9315394848001,72.86255222585321,1
10,19,0,0,24,6,19.0485776166317,72.78543500321817,0
6,21,0,0,18,19,19.269110529156837,72.94520781033332,1
8,19,4,0,6,19,19.128537798901412,72.89183696136587,1
3,22,4,0,3,1,18.918613788078176,72.82837876565176,1
7,19,0,0,13,14,19.119342993719105,72.83944756154173,1
8,3,2,0,3,14,19.23089578286488,72.95545235256525,1
5,18,6,1,30,17,18.91158766487633,72.82790203398191,1
11,2,2,0,31,5,19.195664338635492,72.89466986912704,0
3,22,2,0,11,9,18.925973198823826,72.79877145696467,1
3,20,0,0,1,13,19.231591560112907,72.89435447040967,1
6,22,3,0,21,9,19.053838384343486,72.93477593114604,1
2,21,3,0,28,6,18.948232764622837,72.96962166403429,0
3,18,4,0,18,4,18.974973387349923,72.88247275550916,1
5,21,4,0,2,2,19.14088970381819,72.97010621051724,0
10,22,0,0,0,18,18.98758357833059,72.86139438192686,1
0,20,3,0,5,10,18.898259498200954,72.80800481951067,1
0,20,4,0,12,3,19.072816423244834,72.81921954254769,0
3,18,4,0,28,8,18.882202319664167,72.78153280652985,1
10,19,3,0,0,17,19.0155442597355,72.94051713591597,1
9,10,5,1,29,17,18.991128829112693,72.94333643509015,1
8,16,4,0,18,7,19.231945070944466,72.89495591085289,0
10,13,2,0,10,1,18.932595647959193,72.83494630510391,0
7,19,2,0,11,13,19.23290342243794,72.9141886009485,1
11,15,0,0,12,5,19.167371691927496,72.97080662551701,0
7,8,2,0,13,17,18.900454152576838,72.83152144406675,1
3,19,1,0,1,4,19.146116840791223,72.94007097580469,1
1,20,2,0,14,1,19.04757911607499,72.93023560956169,1
11,18,6,1,8,9,19.256690284647572,72.91371452934459,0
9,1,2,0,10,19,19.11947696092764,72.8804307219924,1
5,18,0,0,6,2,19.229479437386537,72.92479461109322,0
5,20,5,1,7,12,19.208005051647742,72.91897647473519,1
2,22,0,0,22,17,19.11087995469382,72.78874781446179,1
8,22,0,0,5,18,19.218241745195964,72.91849856533385,1
3,20,4,0,22,12,19.097013747412902,72.95234849898367,1
1,23,2,0,2,8,19.223024935064515,72.96332704716825,1
10,15,1,0,26,1,19.120429666720092,72.92111717252877,0
7,18,1,0,23,5,18.946251338811305,72.90914810201913,0
7,8,0,0,14,18,18.94178389888933,72.78508955198114,1
